Age,Make,Type,Miles,Price
4,Ford,3,54923,8036.54
4,BMW,2,8916,6015.63
1,Ford,2,29253,14916.61
5,Ford,2,8679,7040.00
10,Toyota,2,2530,5810.96
4,Toyota,3,19329,48794.45
5,Toyota,2,41790,6372.07
3,BMW,3,89779,45178.26
7,BMW,2,57922,17260.41
8,Ford,1,17857,15186.81
4,Ford,2,6053,5318.51
7,Toyota,1,17471,27460.01
9,Toyota,3,99192,5487.91
1,BMW,3,12408,93336.34
6,Ford,3,83519,2563.52
8,Ford,3,91234,1088.92
2,Ford,2,1501,24885.68
2,BMW,2,76303,16273.70
9,BMW,1,42874,45207.07
5,BMW,1,38427,68218.54
2,Toyota,2,97904,8872.20
8,BMW,2,64577,8365.53
2,Ford,2,32618,13530.22
4,Ford,2,92807,19306.00
1,Ford,1,38792,14161.37
6,Toyota,1,90019,11864.61
6,Toyota,1,1144,23105.34
6,BMW,2,9733,10111.60
5,Ford,2,1477,15596.00
4,Ford,3,72407,1197.25
6,Toyota,2,31799,22597.34
7,Ford,2,79904,6400.55
3,BMW,2,70556,13545.46
8,Toyota,2,20204,5933.62
1,BMW,3,94435,68049.92
5,Toyota,1,4110,48410.29
1,Ford,2,72092,11561.91
4,Ford,2,91191,3970.85
9,BMW,2,57779,8812.49
2,BMW,2,49048,170183.23
7,Ford,2,61940,1936.66
1,Toyota,1,29478,15723.54
2,BMW,2,53462,39103.03
3,BMW,2,36771,11749.68
2,Ford,3,41221,5067.55
9,Ford,2,45884,12753.89
2,Ford,1,52111,19851.29
4,BMW,1,96652,12172.47
1,Ford,1,73862,52968.51
9,Toyota,1,35843,14486.72
1,BMW,2,88590,16428.98
8,Toyota,3,36967,6888.29
5,Ford,2,16755,8020.55
3,Ford,2,25947,7976.16
1,Toyota,1,98224,7177.69
9,Ford,1,31186,16104.51
2,Toyota,1,36146,8852.24
10,Ford,1,48884,21786.19
2,Ford,1,96504,7398.25
10,BMW,2,62357,4585.84
2,BMW,3,86021,42917.76
7,Toyota,3,31713,23561.80
5,BMW,1,5775,10237.19
1,Ford,2,85740,8647.60
10,BMW,2,69733,6977.28
9,Ford,3,27336,6336.98
3,Toyota,3,96969,15787.94
3,Toyota,2,87652,32832.23
10,Toyota,3,29480,8250.83
8,BMW,1,23390,42069.73
2,Ford,3,76524,1856.48
3,BMW,1,1857,103418.45
6,Toyota,1,67091,40065.05
8,BMW,2,17973,8203.95
6,Toyota,3,95903,20692.86
2,Ford,1,90317,14847.39
5,Toyota,1,77191,23905.42
7,Ford,2,56408,2718.12
1,Ford,2,37070,37369.12
3,Ford,3,530,12936.68
4,BMW,2,74781,18685.26
9,Toyota,3,75705,18043.56
2,Ford,1,54441,35712.44
5,Ford,2,29996,8120.73
5,Ford,3,44983,10940.23
1,Ford,3,71911,4665.50
8,BMW,3,19951,18372.45
3,Toyota,3,58150,25646.27
9,Ford,3,63875,2670.30
4,Ford,2,13068,25241.98
4,Ford,2,4628,5459.33
8,BMW,1,6923,23363.48
3,Ford,2,43501,9901.57
2,Toyota,3,5989,35253.30
8,BMW,2,21157,10782.49
3,Ford,1,74568,7073.95
9,Ford,3,91390,1726.02
6,Ford,2,52124,7330.87
6,Ford,2,16214,4964.69
9,Ford,3,9097,2347.88
7,BMW,2,47428,23923.04
2,Ford,2,37695,8614.96
3,Ford,2,41921,29187.36
6,Ford,1,39285,76109.55
5,Ford,2,7783,13836.85
8,Toyota,1,57496,60336.83
9,BMW,1,68459,21061.62
8,BMW,1,97287,5282.96
4,Ford,3,51044,1384.66
4,Ford,1,22348,9027.46
10,Toyota,3,6772,9371.12
8,Ford,3,71309,8635.00
6,Toyota,2,49570,16269.64
6,Toyota,1,27350,10279.20
5,BMW,1,60239,13851.95
7,Toyota,1,69471,5109.58
8,Ford,1,96468,661.60
6,Ford,3,60703,6053.77
9,BMW,1,49052,4563.86
8,Ford,2,6866,10124.81
5,BMW,2,54920,8883.61
6,Toyota,2,13483,6248.63
4,Ford,2,19173,9471.53
8,Ford,1,95602,12420.30
7,BMW,3,30505,32895.92
6,Ford,1,67017,7850.71
8,BMW,3,24693,18101.23
5,Toyota,1,43712,16533.13
7,Toyota,2,64178,5811.26
6,BMW,3,20466,63840.16
10,Toyota,3,33627,4524.08
10,Ford,1,70225,3669.48
3,Ford,2,8274,8610.58
7,Ford,3,27899,8738.54
2,Ford,1,90919,5791.34
2,Toyota,3,20395,5334.26
10,BMW,1,85853,6166.48
5,Ford,2,72154,7211.20
3,BMW,1,44108,54845.86
9,Ford,1,28605,2715.98
2,BMW,1,69688,28589.10
5,Toyota,2,37652,9380.00
3,Toyota,1,52896,104304.57
9,BMW,1,89855,51383.06
6,Ford,1,11380,15269.51
3,Ford,3,71329,5411.87
1,BMW,3,9667,125326.95
5,Toyota,1,77276,7268.70
10,BMW,1,47678,23480.58
4,BMW,2,18079,21011.88
5,BMW,2,84549,21770.27
2,BMW,2,41544,70896.20
4,Toyota,3,24571,34382.94
7,BMW,1,29379,12775.18
9,Ford,1,40672,9237.57
5,Ford,1,9291,44958.43
4,BMW,2,25485,10714.05
4,BMW,2,56331,32219.15
10,Toyota,1,95526,18326.83
5,BMW,1,36315,40857.69
8,Ford,3,7831,3267.77
2,Ford,1,68318,20361.55
8,Toyota,2,77159,4655.80
10,Toyota,2,19152,4632.15
8,BMW,3,38441,8856.41
3,Ford,3,69064,2497.17
8,BMW,3,16834,21913.22
6,Ford,1,89050,2684.85
1,Ford,2,35514,21673.27
3,Ford,2,51065,2639.45
2,Ford,1,40415,12501.90
6,Toyota,3,64101,10285.97
2,Ford,3,75583,7286.32
2,Ford,3,64436,2981.90
7,BMW,2,48768,21053.27
4,Ford,2,18273,7439.37
1,Ford,2,95160,4229.31
7,Toyota,2,3263,15481.87
2,Ford,2,92907,2693.53
1,Ford,2,59857,10597.96
1,BMW,3,59282,11983.58
6,Ford,1,51330,17315.43
10,Ford,2,39974,720.96
3,BMW,3,21479,14017.47
8,Ford,2,42041,1941.73
9,Ford,1,91756,2525.57
8,Ford,3,97720,1890.97
1,Ford,2,19212,22401.77
1,BMW,2,47644,22123.93
10,BMW,2,70006,5228.83
10,Ford,1,46217,6355.36
4,Ford,3,81495,8994.10
4,Ford,3,88818,5503.76
7,Ford,2,86663,1364.42
8,Toyota,1,90470,3350.57
4,Toyota,2,47476,17140.20
9,Toyota,1,13631,9751.81
5,BMW,3,42028,97934.03
10,Ford,1,25487,16356.85
3,BMW,3,37683,16716.90
1,BMW,2,77266,17964.70
10,Ford,2,7350,6832.69
1,Ford,3,78525,8006.91
5,Ford,2,46467,3194.57
7,Toyota,2,15622,4938.46
10,Ford,3,96210,3338.27
6,Ford,2,12844,2989.90
6,BMW,2,77532,32019.32
6,Ford,3,83053,3274.39
2,Toyota,1,58852,32071.16
3,Ford,2,88585,4873.25
1,Ford,3,44228,13807.92
2,Ford,2,84923,4707.67
7,Toyota,1,86569,27965.36
1,BMW,3,17700,18273.95
8,Ford,3,94150,3899.64
7,Toyota,1,11314,23570.69
4,BMW,1,7028,19802.42
1,BMW,2,47663,37011.40
6,BMW,3,29447,55108.44
5,Toyota,2,80709,5220.00
3,Ford,1,70025,6794.06
8,Ford,1,22645,3439.22
7,Ford,3,59328,5915.14
4,BMW,1,43288,8916.63
9,Ford,2,95504,3272.01
2,Toyota,2,33097,7852.26
3,Toyota,1,87838,25992.79
4,BMW,3,59792,7528.66
8,Toyota,2,54749,16412.13
3,Ford,3,96596,2430.17
10,Ford,3,33652,4578.14
4,Ford,1,89565,2347.17
10,Ford,2,25141,4695.11
8,BMW,2,90035,3244.68
6,Toyota,2,9415,11129.66
10,Ford,3,54173,8816.20
4,BMW,3,85609,38635.86
3,Ford,3,50834,5089.20
10,Ford,1,20267,7043.43
8,BMW,2,50192,14859.88
4,Toyota,2,91298,8237.08
5,Toyota,2,28332,4980.45
4,BMW,2,81838,18916.39
5,Ford,1,59902,3196.53
10,BMW,2,89331,18334.01
1,Ford,2,81333,10407.97
4,BMW,1,12078,143337.15
5,Ford,2,72044,5679.16
6,Toyota,1,88797,32759.37
5,Ford,1,72541,2549.50
9,Toyota,1,30621,27692.63
5,Ford,2,59422,3247.89
10,BMW,3,18083,17435.05
4,Ford,2,19799,6490.36
8,BMW,2,88859,14436.82
7,Toyota,3,51854,6205.05
5,Ford,1,16018,9000.83
4,Ford,2,48857,2492.07
10,BMW,1,19975,8564.66
4,BMW,2,69439,16207.62
8,Toyota,1,76198,13933.13
10,BMW,2,32437,24256.77
5,Ford,3,73227,4812.96
2,Toyota,3,59320,2095.82
4,Ford,1,16480,8144.60
8,Toyota,2,57178,4151.57
4,Toyota,2,86512,6930.15
4,Toyota,2,86605,7884.51
6,BMW,3,72012,5859.66
2,Ford,3,92091,5493.48
3,Toyota,3,91855,21013.66
8,Toyota,3,12665,27143.78
2,Toyota,2,91465,24666.07
3,Ford,3,31572,22614.82
6,Ford,2,52826,5123.33
9,Toyota,2,55080,18017.48
4,Ford,2,21190,11621.65
10,BMW,3,82915,16251.73
6,Ford,2,83153,924.71
6,Ford,2,36685,2087.60
4,Ford,2,42778,3007.66
9,Ford,2,57410,3687.19
6,Ford,2,78921,4385.93
7,Ford,2,5689,3834.20
1,Toyota,2,58254,17392.16
5,Toyota,2,25287,17620.94
5,Ford,3,16077,11222.83
2,Ford,2,22834,4940.77
7,BMW,3,33956,24738.47
8,Ford,2,13500,5862.81
5,BMW,1,86413,35880.88
8,Toyota,1,55391,15277.86
5,Toyota,1,82792,31970.62
8,Ford,1,39754,14580.18
7,Ford,1,79515,3844.62
7,Ford,2,38932,6732.33
2,Ford,3,45054,8720.61
5,BMW,3,63281,33983.34
5,BMW,2,97276,9362.00
9,Toyota,2,60089,5226.11
2,BMW,2,12484,71572.19
10,Toyota,2,36324,2892.12
2,Toyota,2,68150,41350.73
2,Toyota,2,98264,6112.41
6,Ford,2,28215,1593.91
7,Toyota,2,92433,1749.85
2,Ford,3,53212,19891.62
3,Ford,2,20973,9053.34
8,Toyota,2,37871,16246.44
2,Toyota,2,72693,4611.25
4,Toyota,2,86992,7780.41
5,Ford,2,87657,4131.36
10,Ford,3,89679,2643.60
8,Toyota,2,2470,5597.55
3,Toyota,3,8267,26242.02
2,Toyota,3,86161,8581.23
8,Ford,2,32423,16065.02
5,Toyota,2,31957,29916.62
10,Ford,2,94232,1635.17
7,Ford,1,56732,1918.75
7,Ford,2,70226,37011.81
1,Ford,3,97214,3524.61
9,Ford,2,29269,2811.71
7,Ford,2,8884,9348.18
2,BMW,1,50483,41603.19
5,BMW,2,2089,18254.65
4,Toyota,2,63042,13586.29
9,Toyota,1,20977,7550.45
2,Toyota,2,30070,56926.48
9,Toyota,3,44678,16719.14
5,Ford,1,15054,7817.81
10,Ford,2,57121,11019.35
3,BMW,1,7157,110694.52
10,BMW,2,14186,29380.96
2,Ford,2,14480,7790.73
2,Ford,3,46119,7926.39
5,Ford,2,31769,11995.69
6,Ford,3,36384,6402.13
4,Ford,3,53096,11156.18
2,Ford,2,31777,5707.73
2,Toyota,2,70534,5264.23
8,Ford,3,16547,12288.37
5,BMW,2,79207,37440.33
6,BMW,2,97102,6804.85
8,BMW,3,42842,9027.21
2,Ford,1,26066,26233.55
6,Ford,2,34871,6088.97
4,Ford,2,88830,6354.10
1,Ford,2,59528,10048.36
4,BMW,2,26397,33293.77
10,BMW,2,26484,17077.55
4,Ford,1,17440,6085.33
6,Ford,2,1021,13436.25
8,Ford,3,44057,15785.10
7,Ford,2,70210,3218.71
1,Ford,1,72186,1212.40
10,BMW,2,90094,1883.28
9,BMW,2,67865,15739.57
9,Ford,1,69871,5211.68
4,Toyota,2,67111,17444.76
7,Toyota,1,74406,11239.53
10,Ford,1,35372,21023.99
8,BMW,1,99156,9328.57
8,Ford,2,88117,1595.24
7,Ford,3,72449,2477.02
1,Ford,2,22406,11512.82
7,Ford,3,29038,7408.35
6,Ford,2,11634,5485.80
9,Ford,1,70792,3008.58
3,Ford,2,98528,2802.07
2,Ford,2,60726,12023.12
