height,weight
72.0,180.7
65.9,154.4
61.5,140.6
75.6,224.3
76.9,182.8
70.2,165.8
70.7,180.5
69.8,151.3
58.7,143.1
73.3,210.4
71.1,204.1
69.4,160.7
72.1,196.0
76.3,179.9
62.0,152.2
68.0,173.8
72.0,177.1
65.5,187.9
68.7,201.4
71.4,204.9
68.0,177.0
75.7,192.3
70.0,208.5
63.5,158.1
70.4,197.8
61.9,156.7
62.9,160.5
61.2,160.4
55.0,135.5
68.1,195.5
70.0,182.4
62.3,151.2
66.3,178.4
69.4,155.6
64.0,184.5
68.0,182.7
64.9,163.2
70.5,138.0
69.5,180.9
62.2,158.5
64.4,185.8
66.1,134.5
70.5,171.3
63.2,155.5
64.4,150.1
63.7,160.2
68.4,166.1
62.0,144.6
61.2,154.6
69.3,153.9
63.3,171.9
66.8,158.2
70.6,190.9
74.6,196.5
66.9,155.8
67.3,174.2
68.3,181.9
65.3,163.6
65.9,183.7
64.7,139.7
74.7,187.9
62.3,140.5
63.6,140.5
63.1,166.7
62.9,160.8
67.5,176.0
74.0,203.1
65.9,156.1
66.9,147.7
60.8,153.8
65.9,172.1
64.9,139.9
67.1,163.2
66.9,171.8
71.1,177.5
57.8,133.6
63.8,155.7
61.3,159.6
64.9,166.6
66.5,151.2
63.9,134.8
78.1,216.3
71.2,161.5
64.1,169.3
67.1,152.2
68.9,171.3
74.2,205.5
67.2,166.4
65.6,157.9
61.7,154.6
61.4,150.3
60.5,158.2
53.7,137.0
63.6,160.4
62.9,152.6
74.3,189.5
65.7,139.8
67.3,161.9
69.5,176.5
68.1,169.5
63.7,157.1
64.3,175.3
61.7,152.9
58.1,151.2
67.6,153.6
66.1,139.9
65.9,173.5
65.0,141.5
67.3,146.3
67.0,142.7
63.9,164.8
64.3,179.5
71.1,186.0
68.5,171.1
64.5,166.4
69.4,165.9
69.0,167.0
61.7,132.0
66.4,194.6
71.9,195.5
57.0,137.7
63.3,156.1
64.1,167.2
64.4,180.8
69.8,181.3
62.3,148.6
63.6,165.9
69.9,143.0
69.3,177.5
60.1,154.1
75.3,184.3
61.8,150.3
56.6,134.3
69.5,193.2
55.3,146.8
62.9,167.1
57.4,152.5
68.5,201.0
66.9,188.1
68.7,176.9
69.9,215.4
70.9,194.5
62.2,157.5
67.8,182.5
63.7,143.5
64.7,160.9
69.1,162.1
57.1,157.3
70.9,158.2
70.3,177.2
59.7,158.9
70.5,191.5
61.9,137.2
64.3,150.7
61.8,169.3
62.9,168.6
61.3,161.8
66.8,155.8
54.0,136.2
61.7,148.0
74.2,175.4
66.1,170.3
69.3,187.1
66.5,185.9
67.6,161.7
62.4,150.9
63.4,138.0
63.4,153.5
64.8,150.8
58.2,148.2
67.6,160.8
65.9,168.6
59.3,148.2
62.6,149.1
68.6,178.6
68.1,160.1
67.7,171.5
62.4,159.3
64.8,166.5
71.9,190.5
81.6,232.3
65.8,183.1
64.8,175.2
54.4,135.1
64.2,142.2
67.3,190.1
67.7,198.8
67.3,155.1
63.3,175.9
68.8,145.0
68.3,170.7
69.6,189.0
60.2,176.6
61.2,153.4
60.4,148.4
67.6,179.0
63.4,136.2
65.7,167.5
56.0,145.6
66.4,195.0
63.1,153.8
70.4,156.2
66.2,194.3
62.9,152.5
73.1,214.8
62.8,152.5
71.7,177.3
60.7,127.9
54.0,133.3
61.3,146.8
64.5,177.6
59.5,142.7
67.4,167.4
64.9,159.9
66.4,187.6
61.1,165.3
63.0,144.7
66.9,171.1
62.0,129.9
64.8,136.8
64.6,159.7
68.7,175.9
67.4,172.6
70.3,187.5
60.5,152.5
63.2,166.8
65.8,161.6
67.0,147.0
61.5,146.9
62.9,147.0
55.7,130.7
61.7,173.7
61.1,161.9
63.3,162.7
61.5,152.1
64.4,130.9
66.6,150.5
58.6,140.6
74.0,224.1
63.3,151.7
62.0,179.6
69.5,160.0
66.8,135.9
66.7,152.2
65.1,152.4
69.4,159.0
57.0,136.7
67.1,142.0
71.3,164.0
60.6,161.4
66.6,177.1
77.9,176.5
65.6,149.3
65.9,168.0
61.7,152.5
68.0,152.5
66.2,178.1
71.2,174.8
59.5,150.5
70.2,213.1
66.6,163.4
63.3,139.3
62.4,162.5
77.9,174.0
61.9,147.7
71.2,169.2
65.0,168.7
66.2,166.1
75.9,168.4
62.9,178.6
70.7,194.2
67.7,156.0
63.8,157.5
67.5,139.0
69.1,192.6
64.0,149.2
63.7,141.3
66.9,179.9
76.9,154.5
77.2,239.1
63.9,155.8
69.5,157.2
68.7,207.8
67.2,176.2
62.4,137.5
64.2,140.6
62.7,173.3
68.6,178.2
66.2,159.9
59.3,147.6
61.3,127.4
59.5,135.5
59.0,146.7
62.3,146.8
68.8,164.3
72.0,190.9
67.2,187.6
60.2,157.0
69.8,130.3
64.5,165.1
79.2,193.3
61.5,158.7
58.3,131.7
73.0,213.5
70.6,185.9
66.3,180.5
68.5,159.8
64.7,163.5
55.4,131.3
62.7,144.1
60.6,156.1
59.5,152.4
68.9,184.8
67.5,164.7
63.2,162.0
62.4,172.0
60.9,155.6
58.0,137.5
66.1,158.3
63.8,154.9
72.9,172.3
68.9,150.0
58.2,146.2
65.3,159.2
72.8,177.7
66.1,170.6
60.9,146.1
68.9,185.4
66.7,172.0
73.3,167.5
71.3,155.1
74.5,163.0
53.3,130.3
73.1,178.5
65.7,173.3
57.8,142.9
63.8,177.2
69.2,169.9
69.7,137.3
75.4,219.6
61.7,152.8
64.6,165.6
70.9,161.4
73.1,180.4
63.5,192.2
68.5,174.9
63.2,177.2
68.2,183.0
72.1,208.7
72.7,214.9
66.8,170.9
64.2,176.8
66.3,159.4
60.5,159.2
73.1,172.3
69.3,178.6
63.8,165.4
68.9,168.1
59.3,149.5
69.8,186.4
63.1,156.7
69.1,162.7
61.9,152.9
69.2,178.7
73.9,178.4
60.5,155.6
66.7,157.0
67.1,177.3
74.0,152.6
80.8,149.6
64.5,157.3
62.9,140.6
70.0,138.0
61.8,178.5
70.6,189.8
67.3,174.2
56.6,135.5
68.7,159.0
64.0,169.4
61.0,162.3
77.2,192.9
68.4,193.6
71.6,181.8
69.7,147.0
63.3,155.9
72.3,189.0
66.5,159.6
64.8,171.1
72.6,219.6
64.5,165.3
56.3,145.4
73.4,168.2
64.7,139.5
73.0,174.8
72.8,168.8
70.6,126.8
61.8,144.9
63.6,156.9
66.6,186.7
64.9,165.5
66.6,151.8
63.8,156.9
67.3,180.6
68.5,163.5
71.1,174.4
65.5,168.1
63.7,163.9
68.2,169.1
67.6,139.7
72.1,173.0
68.7,167.3
61.1,162.4
65.6,173.1
67.8,184.5
60.9,150.4
65.3,150.0
65.0,148.5
71.4,183.5
69.8,165.3
59.1,161.2
66.3,196.4
63.1,151.4
57.9,150.4
66.6,153.1
73.5,174.2
67.3,152.2
57.0,145.9
64.0,181.5
63.3,152.8
71.3,195.8
69.1,194.7
73.9,196.4
73.0,215.2
63.1,165.7
71.4,158.2
75.3,214.0
69.6,162.9
67.9,179.3
64.9,176.6
65.5,176.5
71.3,161.7
65.5,176.8
69.2,197.9
60.9,141.9
65.5,151.0
65.0,137.8
69.7,173.3
60.8,140.4
67.9,178.8
57.1,145.2
68.8,154.0
68.0,166.5
79.9,202.7
66.9,153.8
68.5,213.3
62.3,145.7
62.8,148.2
63.0,140.2
63.1,186.1
63.7,151.5
72.3,177.5
63.6,162.0
66.3,186.3
62.5,139.0
61.7,160.3
61.2,156.0
72.9,186.2
67.9,163.6
60.4,149.6
66.9,163.5
73.0,234.3
73.3,184.1
59.0,160.6
58.9,130.9
67.8,172.8
57.9,138.4
64.2,162.5
70.7,164.8
77.8,224.3
70.8,162.9
61.7,150.7
73.4,231.5
58.4,128.6
71.0,191.0
67.8,163.8
68.1,175.0
62.0,141.9
62.4,157.8
68.3,186.0
59.6,160.8
71.6,181.2
65.8,180.3
72.0,121.9
62.7,153.4
62.8,162.2
70.9,162.3
63.7,172.6
70.4,164.3
63.5,154.9
73.5,157.9
